Classification,Cl,TDS,E.C,Na,T.H,NO3 ,Mg,RSC  meq  / L,Ca,SAR
4,320.0,991.36,1549.0,109.548683,539.9013158,56.2483,58.344,-5.769321852,120.0,2.049850234
4,30.0,520.32,813.0,59.43722198,279.9342105,14.239235,38.896,1.22851591,48.0,1.544552514
4,90.0,759.04,1186.0,154.8754567,259.9424342,34.302605,34.034,3.034599297,48.0,4.176535463
4,270.0,993.28,1552.0,209.0,299.9177632,31.003,48.62,-1.998355263,40.0,5.247076015
4,120.0,488.32,763.0,84.0,199.9506579,17.11204545,29.172,-1.399013158,32.0,2.582795561
4,190.0,1087.36,1699.0,136.0,279.9259868,1.811863636,43.758,-3.198519737,40.0,3.534186498
4,230.0,800.0,1250.0,182.0,219.9588816,89.18395455,24.31,-1.799177632,48.0,5.335471453
4,180.0,774.4,1210.0,145.0,239.9506579,110.9263182,29.172,-1.799013158,48.0,4.06985741
3,10.0,371.2,580.0,14.1310685,259.9424342,33.2175,34.034,-0.420404199,48.0,0.381073347
4,80.0,576.0,900.0,32.06496904,379.9342105,40.52535,38.896,-1.848318809,88.0,0.71523505
3,70.0,296.32,463.0,41.8859952,139.9835526,2.6574,9.724,-0.503716802,40.0,1.539226377
1,50.0,611.2,955.0,82.63768615,299.9424342,35.432,34.034,1.245016597,64.0,2.074585588
1,530.0,1504.0,2350.0,257.8130012,619.8930921,205.9485,63.206,-8.588208913,144.0,4.50213569
4,180.0,807.68,1262.0,98.64370488,419.9259868,42.29695,43.758,-2.142171393,96.0,2.092932218
4,150.0,723.2,1130.0,76.98178831,399.9095395,88.58,53.482,-2.740713995,72.0,1.673706403
4,340.0,1243.52,1943.0,257.3996798,419.8601974,101.867,82.654,-1.100962895,32.0,5.461699647
4,60.0,620.8,970.0,94.31462036,279.9588816,59.7915,24.31,1.097489277,72.0,2.45077849
4,110.0,757.76,1184.0,51.88061293,479.8930921,108.5105,63.206,-3.290848701,88.0,1.029686486
4,80.0,646.4,1010.0,141.4692268,199.9506579,25.46675,29.172,2.999876053,32.0,4.349834416
4,310.0,1109.76,1734.0,97.65486215,659.8601974,106.296,82.654,-6.862134445,128.0,1.652875221
3,20.0,302.72,473.0,25.95773746,179.9671053,9.7438,19.448,0.216365912,40.0,0.841283622
4,170.0,661.12,1033.0,55.10541238,399.9013158,70.864,58.344,-4.020817694,64.0,1.198091547
4,30.0,500.48,782.0,33.36323429,319.9259868,84.151,43.758,-1.005719616,56.0,0.810990095
4,70.0,697.6,1090.0,39.58012307,459.9177632,77.5075,48.62,-2.048077203,104.0,0.802433798
4,210.0,938.24,1466.0,118.3005616,479.8684211,70.864,77.792,-2.523991385,64.0,2.347998877
4,270.0,1255.04,1961.0,136.6798124,419.9013158,139.5135,58.344,0.73499382,72.0,2.900032869
3,60.0,394.88,617.0,31.34381556,239.9424342,3.76465,34.034,-0.609977014,40.0,0.879772731
3,80.0,479.36,749.0,43.85447438,279.9424342,70.864,34.034,-1.91600233,56.0,1.139598075
4,220.0,628.48,982.0,88.21230163,299.9753289,20.8163,14.586,-2.838427915,96.0,2.214412624
4,200.0,951.04,1486.0,105.0818557,519.8684211,34.1033,77.792,-2.251126345,80.0,2.003794494
4,180.0,863.36,1349.0,155.5836327,339.9506579,46.28305,29.172,0.233516139,88.0,3.66883456
4,400.0,1190.4,1860.0,208.3860012,479.8930921,192.6615,63.206,-6.159862215,88.0,4.13588501
4,170.0,682.24,1066.0,89.49147492,339.9342105,11.9583,38.896,-1.482275589,72.0,2.110359254
3,80.0,396.16,619.0,41.53655991,219.9835526,14.1728,9.724,-1.053080651,72.0,1.217608254
4,140.0,588.8,920.0,74.60801819,299.9917763,19.0447,4.862,-1.475213931,112.0,1.872849991
3,20.0,394.88,617.0,22.93834923,259.9671053,154.79355,19.448,-2.401486469,72.0,0.618550447
